"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2022.MMP0373,2022.MMP0373,Caribbean,"Mon, 04/04/2022 - 12:00",2022,April,,27,27,,,,,Drowning,"Sánchez 32000, Samaná Bay, Dominican Republic","Armada de República Dominicana,Listin Diario DO,Noticias Sin,Hoy República Dominicana","19.22470271, -69.615457","Dominican Republic to Puerto Rico","https://www.facebook.com/ArmadaRD/posts/291846829798054, https://archive.ph/R0Z6x, https://archive.ph/GeZUy, https://archive.ph/usZIz",Uncategorized,5
2022.MMP0374,2022.MMP0374,"Central America","Tue, 04/12/2022 - 12:00",2022,April,2,,2,,,2,,Drowning,"San Felipe Port, Yucatan, Mexico","24 Horas Yucatan,Periodico Cubano,Diario de Cuba","21.56954132, -88.233528",,"https://archive.ph/V7qNo, https://archive.ph/ShYnM, https://archive.ph/JiLAI","Central America",3
2022.MMP0375,2022.MMP0375,"North America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo in Eagle Pass, Maverick County,Texas, USA","TN 23 Guatemala, Chapin TV","28.70921971, -100.509525","US-Mexico border crossing","https://archive.ph/NYQxn, https://archive.ph/FkPnt","Northern America",3
2022.MMP0376,2022.MMP0376,"Central America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near lnternational Bridge II, Piedras Negras, Coahuila de Zaragoza, Mexico","GMN Noticias","28.69742543, -100.511105","US-Mexico border crossing",https://archive.ph/bFkIY,"Central America",1
2022.MMP0377,2022.MMP0377,"Central America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Malecón de Playas de Tijuana, near border wall, Tijuana, Baja California,Mexico","El Heraldo de Mexico, Cibercuba, Cubanos por el Mundo","32.53427077, -117.123732","US-Mexico border crossing","https://archive.ph/EqEap, https://archive.ph/yXd4d, https://archive.ph/zZS4U","Central America",3
2022.MMP0378,2022.MMP0378,"North America","Thu, 04/14/2022 - 12:00",2022,April,2,,2,,,2,,Drowning,"Rio Bravo in Eagle Pass, Maverick County, Texas, USA",Zócalo,"28.70921971, -100.509525","US-Mexico border crossing","https://archive.ph/XFwHY, https://archive.ph/mN7i9","Northern America",3
2022.MMP0379,2022.MMP0379,"Central America","Thu, 04/14/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo, Morelos Colony, Acuña, Coahuila, Mexico",Zócalo,"29.30446461, -100.886197","US-Mexico border crossing",https://archive.ph/z7wj0,"Central America",1
2022.MMP0380,2022.MMP0380,"North America","Thu, 04/14/2022 - 12:00",2022,April,1,,1,,1,,,Drowning,"Jackson Road & Military Highway, Parr, Hidalgo County, Texas 78577, USA","Noticias Ya","26.09736015, -98.221172","US-Mexico border crossing",https://archive.ph/0uMFH,"Northern America",1
2022.MMP0381,2022.MMP0381,"Central America","Fri, 04/15/2022 - 12:00",2022,April,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Guerrero,Coahuila de Zaragoza, Mexico",Zócalo,"28.39041951, -100.348481","US-Mexico border crossing",https://archive.ph/xJteg,"Central America",1
2022.MMP0382,2022.MMP0382,"North America","Fri, 04/15/2022 - 12:00",2022,April,1,,1,,,,,Drowning,"Rio Bravo near Water Works sistem, Eagle Pass, Maverick County, Texas, USA",Zócalo,"28.7168439, -100.506293","US-Mexico border crossing",https://archive.ph/djrSn,"Northern America",1
2022.MMP0383,2022.MMP0383,"Central America","Sun, 04/17/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near Guardados de Arriba Colony, Miguel Aleman, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana","26.37910974, -98.956948","US-Mexico border crossing","https://archive.ph/MqKCN, https://archive.ph/4mTOS","Central America",3
2022.MMP0384,2022.MMP0384,"Central America","Sun, 04/17/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near Isla del Mudo, Piedras Negras, Coahuila de Zaragoza, Mexico",Zócalo,"28.72898236, -100.508742","US-Mexico border crossing",https://archive.ph/KlqBp,"Central America",1
2022.MMP0385,2022.MMP0385,"Central America","Tue, 04/19/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo Ejido Santo Domingo,Municipality of Guerro, Coahuila, Mexico",Zócalo,"28.45849112, -100.356687","US-Mexico border crossing",https://archive.ph/OS04s,"Central America",1
2022.MMP0386,2022.MMP0386,"Central America","Tue, 04/19/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo in Presidentes Colony, Piedras Negras, Coahuila,Mexico",Zócalo,"28.6798592, -100.507396","US-Mexico border crossing",https://archive.ph/OS04s,"Central America",1
2022.MMP0387,2022.MMP0387,"Central America","Tue, 04/19/2022 - 12:00",2022,April,6,,6,,,,,"Vehicle accident / death linked to hazardous transport","At kilometer 107 of the road from Querobabi to Carbó, near military checkpoint, Benjamín Hill, Sonora, Mexico","Fiscalia General del Estado de Sonora, DW,Excelsior,El Heraldo","30.05041768, -111.101059","US-Mexico border crossing","https://archive.ph/2KlhP, https://archive.ph/snFHb, https://archive.ph/fy0uv, https://archive.ph/C60St","Central America",5
2022.MMP0388,2022.MMP0388,"Central America","Wed, 04/20/2022 - 12:00",2022,April,3,,3,15,1,2,,"Vehicle accident / death linked to hazardous transport","Rio Seco II bridge on the Cordoba-Veracruz highway, at kilometer 3 in the municipality of Amatlan de los Reyes, Veracruz, Mexico","Noticieros Televisa, Telesur, La Prensa MX, Radio La Prímerisima Nicaragua, El Mundo","18.86567079, -96.853133",,"https://archive.ph/PRAKm, https://archive.ph/hQRev, https://archive.ph/fuU9I, https://archive.ph/3fJ9L, https://archive.ph/JSnOz","Central America",3
2022.MMP0422,2022.MMP0422,"Central America","Sat, 04/09/2022 - 12:00",2022,April,1,,1,,,1,1,Drowning,"Rio Bravo near Camino Real International Bridge,Piedras Negras, Coahuila, Mexico",Hondudiario,"28.69749259, -100.511041","US-Mexico border crossing",https://archive.ph/ZrqmT,"Central America",1
2022.MMP0423,2022.MMP0423,"North America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,"Accidental death","Near La Paloma,Cameron County, Texas","5 KRGV News","26.03463634, -97.672268","US-Mexico border crossing",https://archive.ph/uIbWs,"Northern America",1
2022.MMP0424,2022.MMP0424,"North America","Fri, 04/15/2022 - 12:00",2022,April,1,,1,,1,,,"Vehicle accident / death linked to hazardous transport","Highway 281 north of San Manuel,Lynn County,Texas,United States of America","US Border Patrol","26.62944979, -98.112514","US-Mexico border crossing",https://archive.ph/xQaYx,"Northern America",5
2022.MMP389,2022.MMP389,"North America","Thu, 04/21/2022 - 12:00",2022,April,3,,3,6,,,,"Vehicle accident / death linked to hazardous transport","Interstate-10 near milepost 214 near Eloy, Arizona, USA","Tucson Sentinel, Arizona 15, News4Tuscon","32.70565082, -111.4827043","US-Mexico border crossing","https://archive.ph/zHYlG, https://archive.ph/3vWNO, https://archive.ph/SMBCwhttps://archive.ph/SMBCw","Northern America",3
2022.MMP390,2022.MMP390,"South-eastern Asia","Fri, 04/15/2022 - 12:00",2022,April,5,2,7,13,,,,Drowning,"unspecified location off the coast of Pulau Tanduoan, Malayisa","BH Online","3.796393244, 103.4092111",,https://archive.vn/K5eeu,"South-eastern Asia",1
2022.MMP391,2022.MMP391441,"South-eastern Asia","Wed, 04/20/2022 - 12:00",2022,April,6,,6,521,3,3,2,"Accidental death","A highway around 6-7 km. from the Sungai Bakap Temporary Detention Centre in Bandar Baharu, Kedah, Malaysia","Reuters, The Edge Markets, Radio Free Asia, (AFP via)The Jakarta Post, New Straits Times, Free Malaysia Today","5.228970838, 100.5531264",,"https://archive.ph/2xBIt, https://archive.vn/7P7hM, https://archive.ph/yuleJ, https://archive.ph/ZpwMW, https://archive.vn/DYtX3, https://www.freemalaysiatoday.com/category/nation/2022/04/27/another-rohingya-detainee-dies-after-fleeing-immigration-depot/","South-eastern Asia",3
2022.MMP391,2022.MMP391442,"South-eastern Asia","Wed, 04/27/2022 - 12:00",2022,April,1,,1,,1,,1,"Accidental death","In a hospital, 7 days after being hit by vehicles when fleeing from the Sungai Bakap Temporary Detention Centre in Bandar Baharu, Kedah, Malaysia","Reuters, The Edge Markets, Radio Free Asia, (AFP via)The Jakarta Post, New Straits Times, Free Malaysia Today","5.228970838, 100.5531264",,"https://archive.ph/2xBIt, https://archive.vn/7P7hM, https://archive.ph/yuleJ, https://archive.ph/ZpwMW, https://archive.vn/DYtX3, https://www.freemalaysiatoday.com/category/nation/2022/04/27/another-rohingya-detainee-dies-after-fleeing-immigration-depot/","South-eastern Asia",3
2022.MMP392,2022.MMP392443,Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,1,10,11,13,,,,Drowning,"Approx. 3 miles West Ramkeen Islands, Tripoli, Lebanon - embarkation from Qammoura, Tripoli, Lebanon","Lebanese Army, UNICEF via IOM Lebanon, UNHCR, Reuters, AlJazeera","34.46846729, 35.729883","Eastern Mediterranean","https://archive.vn/eJvwm, https://archive.ph/QLU2o, https://archive.ph/ox9vN, https://archive.ph/usc7g",Uncategorized,5
2022.MMP392,2022.MMP392444,Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,,1,1,6,,,,Drowning,"Approx. 3 miles West Ramkeen Islands, Tripoli, Lebanon - embarkation from Qammoura, Tripoli, Lebanon","Lebanese Army, UNICEF via IOM Lebanon, UNHCR, Reuters, AlJazeera","34.46846729, 35.729883","Eastern Mediterranean","https://archive.vn/eJvwm, https://archive.ph/QLU2o, https://archive.ph/ox9vN, https://archive.ph/usc7g",Uncategorized,5
2022.MMP392,2022.MMP392445,Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,6,20,26,26,,,1,Drowning,"Approx. 3 miles West Ramkeen Islands, Tripoli, Lebanon - embarkation from Qammoura, Tripoli, Lebanon","Lebanese Army, UNICEF via IOM Lebanon, UNHCR, Reuters, AlJazeera, Asharq Al-Awsat","34.46846729, 35.729883","Eastern Mediterranean","https://archive.vn/eJvwm, https://archive.ph/QLU2o, https://archive.ph/ox9vN, https://archive.ph/usc7g",Uncategorized,5
2022.MMP393,2022.MMP393,Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,12,14,26,98,,,,Drowning,"Off Sfax, Tunisia - embarkation of four boats from Al Amra and Jebiniana, Sfax on night between 22 and 23 April","IOM Tunisia, Reuters","35.00161321, 10.971276","Central Mediterranean","https://archive.vn/wip/3CTqM, https://archive.vn/HHeI7",Uncategorized,4
2022.MMP394,2022.MMP394,Mediterranean,"Sun, 04/24/2022 - 12:00",2022,April,1,,1,65,,,,Drowning,"Unspecified location in the Mediterrenean - disembarkation at Misfat Al Zawiya, Libya, embarkation from Sabratha on 23 Apr 21:00","IOM Libya","32.79283444, 12.677462","Central Mediterranean",,Uncategorized,4
2022.MMP395,2022.MMP395,Mediterranean,"Mon, 04/25/2022 - 12:00",2022,April,,12,12,94,,,,Drowning,"North of Al-Khums, Libya - location of rescue 33 13.5 N 014 01.1 E - presumed to depart from Al Khums at 03:00","SOS Méditerranée","33.14699825, 14.021359","Central Mediterranean",https://archive.vn/vJWCQ,Uncategorized,4
2022.MMP396,2022.MMP396,"Western Asia","Mon, 04/25/2022 - 12:00",2022,April,2,,2,11,,,,"Vehicle accident / death linked to hazardous transport","Bus overturned near the village of Büvetli, Diyadin, Ağrı, Turkey","Turkey Alaan, Diyaddinet","39.59241948, 43.774809","Turkey-Europe land route","https://archive.vn/nmOUz, https://archive.vn/tSGcB","Western Asia",3
2022.MMP397,2022.MMP397454,"Northern Africa","Tue, 04/26/2022 - 12:00",2022,April,1,22,23,36,11,,7,Drowning,"132mn south of Gran Canaria, Canary Islands - embarkation from Boujdor, Morocco on 24 Apr","Salvamento Maritimo, Helena Maleno, Txema Santana, Arab News, Canaries7","26.59929091, -16.024947","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/80tuN, https://archive.vn/G0RsN, https://archive.vn/qKzxf, https://archive.vn/FUOc1, https://archive.vn/hs468",Uncategorized,5
2022.MMP397,2022.MMP397455,"Northern Africa","Tue, 04/26/2022 - 12:00",2022,April,,2,2,,1,1,,Drowning,"132mn south of Gran Canaria, Canary Islands - embarkation from Boujdor, Morocco on 24 Apr","Salvamento Maritimo, Helena Maleno, Txema Santana, Arab News, Canaries7, EFE","26.59929091, -16.024947","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/80tuN, https://archive.vn/G0RsN, https://archive.vn/qKzxf, https://archive.vn/FUOc1, https://archive.vn/hs469, https://archive.ph/Z9G7r",Uncategorized,5
2022.MMP398,2022.MMP398,"Northern Africa","Tue, 04/26/2022 - 12:00",2022,April,1,,1,,,,,"Mixed or unknown","Unspecified location in the Atlantic between Western Sahara and Canary Islands - disembarkation at Laayoune","Alayam24, Dakhla Mobachir","27.33809627, -13.592776","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/EXyyU, https://archive.vn/NykaQ",Uncategorized,3
2022.MMP399,2022.MMP399,"Central America","Thu, 04/21/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico","Zócalo, El Siglo Coahuila","28.69614891, -100.5112011","US-Mexico border crossing","https://archive.ph/hNuJf, https://archive.ph/639xX","Central America",3
2022.MMP400,2022.MMP400,"North America","Thu, 04/21/2022 - 12:00",2022,April,3,,3,,,3,,"Vehicle accident / death linked to hazardous transport","Interstate 10 near Casa Grande, Pinal County, Arizona 85122, USA",Univision,"32.90107512, -111.6867731","US-Mexico border crossing",https://archive.ph/xJ8X0,"Northern America",1
2022.MMP401,2022.MMP401,"Central America","Thu, 04/21/2022 - 12:00",2022,April,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Behind Trinity Rail, Sabinas, Coahuila de Zaragoza, Mexico","Zócalo, Periodico La Voz","27.82041348, -101.1532647",,"https://archive.ph/Q7vjc, https://archive.ph/Flu7d","Central America",3
2022.MMP402,2022.MMP402,"South America","Thu, 04/21/2022 - 12:00",2022,April,1,,1,,,1,,"Sickness / lack of access to adequate healthcare","Near Rodoviario de Iquique, Iquique, Tarapacá, Chile","Soy Chile,Tarapacá Online","-20.20811407, -70.15067347",,"https://archive.ph/Bw5I1, https://archive.ph/Z7K7G","South America",3
2022.MMP404,2022.MMP404,"Central America","Fri, 04/22/2022 - 12:00",2022,April,1,,1,,,,,Drowning,"Rio Bravo, in front of Ejido El Centinela, Piedras Negras, Coahuila de Zaragoza, Mexico","Breitbart, Unision","28.79815515, -100.533683","US-Mexico border crossing","https://archive.ph/uDyvc, https://archive.ph/gMehP","Central America",3
2022.MMP405,2022.MMP405,Caribbean,"Thu, 04/14/2022 - 12:00",2022,April,,2,2,,,2,,Drowning,"West of the Municipality of Playa in Havana, Havana, Cuba",Cibercuba,"23.09257932, -82.4854845","Caribbean to US",https://archive.ph/ojmo8,Caribbean,1
2022.MMP406,2022.MMP406,Caribbean,"Mon, 04/04/2022 - 12:00",2022,April,,6,6,,1,2,3,Drowning,"Baracoa Beach, Cuba",Cibercuba,"23.05007621, -82.56748266","Caribbean to US",https://archive.ph/ojmo8,Caribbean,1
2022.MMP407,2022.MMP407,"Central America","Sat, 04/16/2022 - 12:00",2022,April,,1,1,,,1,,Drowning,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico",Cibercuba,"28.70505078, -100.5122816","US-Mexico border crossing",https://archive.ph/ojmo8,"Central America",1
2022.MMP408,2022.MMP408,"Central America","Sun, 04/24/2022 - 12:00",2022,April,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Railroad tracks in Aragon, Nopala de Villagrán, Hidalgo, Mexico","La Silla Rota Hidalgo, El Sol de Tulancingo","20.2121104, -99.61669202",,"https://archive.ph/zy1KM, https://archive.ph/b01mO","Central America",3
2022.MMP409,2022.MMP409,"South America","Sun, 04/24/2022 - 12:00",2022,April,1,,1,,1,,,Violence,"Vereda Las Animas, Ipiales, Nariño, Colombia","La Patilla","0.837752035, -77.62158474",,https://archive.ph/BElMa,"South America",1
2022.MMP411,2022.MMP411,"Central America","Tue, 04/12/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near lnternational Bridge II, Piedras Negras, Coahuila de Zaragoza, Mexico","Noticias RCN, El Tiempo","28.69742543, -100.5111049","US-Mexico border crossing","https://archive.ph/fvPRS, https://archive.ph/1EvEv","Central America",3
2022.MMP412,2022.MMP412,"South-eastern Asia","Sat, 04/23/2022 - 12:00",2022,April,1,,1,11,,,1,"Vehicle accident / death linked to hazardous transport","359 Road, Moo7 Baanmaipraiwan, Sa Khwuan Subdistrict, Mueang Sa Kaeo District, Sa Kaeo Province, Thailand","Banmuang, Top News, Thai PBS","13.77498859, 101.9922317",,"https://archive.vn/xwXhm, https://archive.vn/5m5YD, https://archive.vn/yEdBD","South-eastern Asia",3
2022.MMP413,2022.MMP413,Europe,"Sun, 04/17/2022 - 12:00",2022,April,1,,1,5,1,,,Violence,"Evros-Meric river near Soufli, Greece","Hellenic Ministry of Citizen Protection, AFP, AP","41.19991871, 26.318703","Turkey-Europe land route","https://archive.ph/S1Qau, https://archive.ph/5u9i4, https://archive.ph/BZTVi","Southern Europe",5
2022.MMP414,2022.MMP414,Europe,"Sun, 04/03/2022 - 12:00",2022,April,1,,1,,,1,,"Accidental death","Body found at the Zabalgarbi garbage disposal plant in Bilbao, Bizkaia, Spain","Naiz, Nius Diario","43.25080948, -2.969875",,"https://archive.ph/EAFH0, https://archive.ph/JMdin","Southern Europe",3
2022.MMP415,2022.MMP415,Europe,"Sun, 05/01/2022 - 12:00",2022,May,1,,1,9,,,,"Vehicle accident / death linked to hazardous transport","On the Trakia highway aorund the 245km, Sliven Province, Bulgaria",Vesti,"42.66416055, 26.33257",,https://archive.ph/k9MqC,"Eastern Europe",1
2022.MMP416,2022.MMP416,Mediterranean,"Sun, 05/01/2022 - 12:00",2022,May,1,,1,,,,,Drowning,"Remains recovered close to the southern seawall, Melilla, Spain - thought to have swimmed from the Moroccan port of Béni Ansar","AMDH Nador, Infomigrants, Nador City","35.28312826, -2.916288","Western Mediterranean","https://m.facebook.com/1493677674177836/posts/3189128307966089/?d=n, https://archive.ph/uWr6d, https://archive.ph/HK7iT",Uncategorized,3
2022.MMP417,2022.MMP417,"Northern Africa","Sun, 05/08/2022 - 12:00",2022,May,,28,28,13,,,,Drowning,"120 km south of Gran Canaria, Spain","El Diario, Euronews","26.641567, -15.586981","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/UsT7X, https://archive.ph/y0dLn",Uncategorized,3
2022.MMP418,2022.MMP418,"North America","Mon, 05/02/2022 - 12:00",2022,May,,2,2,,,1,1,Drowning,"Rio Bravo 1 mile west of Del Rio Bridge, Val Verde, Texas, USA","United States Customs and Border Patrol (CBP)","29.33505865, -100.940823","US-Mexico border crossing",https://archive.ph/iSaE2,"Northern America",5
2022.MMP419,2022.MMP419,"Central America","Thu, 05/05/2022 - 12:00",2022,May,1,,1,,,1,,Drowning,"Rio Bravo near Del Rio International Bridge, Ciudad Acuña, Coahuila, Mexico","United States Customs and Border Patrol (CBP)","29.33472955, -100.9414584","US-Mexico border crossing",https://archive.ph/iSaE2,"Central America",5
2022.MMP420,2022.MMP420,"North America","Fri, 05/06/2022 - 12:00",2022,May,1,,1,5,,1,,"Accidental death","Climbing border fence near La Media Rd & Drucker Ln in Otay Mesa, San Diego, CA, USA","Times of San Diego, NBC San Diego","32.54931863, -116.9494693","US-Mexico border crossing","https://archive.ph/P11js, https://archive.ph/BzeXn","Northern America",3
2022.MMP421,2022.MMP421,Europe,"Thu, 05/05/2022 - 12:00",2022,May,1,1,2,,,2,,Drowning,"Unspecified location in the Tisza River, Transcarpathia, Ukraine on border with Romania","Державна прикордонна служба України (Ukrainian State Border Guard)","47.98650058, 23.67351528","Ukraine to Europe",https://www.facebook.com/DPSUkraine/posts/335141652058045,"Eastern Europe",5
2022.MMP422,2022.MMP422,"South-eastern Asia","Sat, 04/30/2022 - 12:00",2022,April,2,,2,12,,,,"Vehicle accident / death linked to hazardous transport","Bang Bua Thong - Suphan Buri Rd, Moo7, Kokkram Subdistrict, Bangplama district, Suphan Buri, Thailand","Banmuang, 7HD, Thai News Agency","14.40311671, 100.164845",,"https://archive.vn/8Udnh, https://archive.vn/UJ95y, https://archive.vn/UcoDZ","South-eastern Asia",3
2022.MMP423,2022.MMP423,Mediterranean,"Fri, 05/06/2022 - 12:00",2022,May,1,,1,16,,,,"Mixed or unknown","Unspecified location off the coast of Misrata, Libya - embarkation at Al Khums Naval base","Turkish Ministry of Defense, IOM Libya","33.14787681, 15.167232","Central Mediterranean",https://archive.ph/oUO1q,Uncategorized,5
2022.MMP425,2022.MMP425,"Central America","Fri, 04/22/2022 - 12:00",2022,April,1,,1,,1,,,Violence,"Coatzintla,Veracruz, México","Foreign Affairs Ministry Guatemala, La Aldea de la Informacion","20.48326962, -97.466227",,"https://archive.ph/32cwp, https://archive.ph/LDCHR","Central America",5
2022.MMP426,2022.MMP426,"Central America","Thu, 04/28/2022 - 12:00",2022,April,2,,2,,,1,1,"Vehicle accident / death linked to hazardous transport","Federal Highway 53,Castaños, Coahuila de Zaragoza, Mexico","El Sol de la Laguna, Diario del Yaqui","26.69193169, -101.382989","US-Mexico border crossing","https://archive.ph/N8xc6, https://archive.ph/0XcpM","Central America",1
2022.MMP427,2022.MMP427,"Central America","Fri, 04/29/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near Camino Real International Bridge, Piedras Negras, Coahuila, Mexico",Cibercuba,"28.69749259, -100.511041","US-Mexico border crossing",https://archive.ph/DZMDS,"Central America",1
2022.MMP428,2022.MMP428,"Central America","Sun, 05/01/2022 - 12:00",2022,May,1,,1,,,1,,Drowning,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico","Texas Nicaraguan Community, 100% Noticias Nicaragua.","28.70505078, -100.512282","US-Mexico border crossing","https://www.facebook.com/texas.nic.community/posts/762374541806183, https://archive.ph/OI7Pa","Central America",4
2022.MMP429,2022.MMP429,"North America","Tue, 05/03/2022 - 12:00",2022,May,1,,1,,1,,,"Harsh environmental conditions / lack of adequate shelter, food, water","Uninhabited area near Carrizo Springs, Dimmit County, Texas, United States of America","K911 Noticias","28.5142065, -99.895202","US-Mexico border crossing",https://archive.ph/dLRCs,"Northern America",1
2022.MMP430,2022.MMP430,Mediterranean,"Fri, 04/29/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Remains washed ashore 5KM West of Sabratha DP, Sabratha, Libya","IOM Libya","32.81545615, 12.434809","Central Mediterranean",,Uncategorized,4
2022.MMP431,2022.MMP431,Mediterranean,"Thu, 05/05/2022 - 12:00",2022,May,2,,2,,,2,,Drowning,"Remains washed ashore at Abubasla, Zuwara, Libya","IOM Libya","33.00126156, 11.976061","Central Mediterranean",,Uncategorized,4
2022.MMP432,2022.MMP432,Mediterranean,"Fri, 05/06/2022 - 12:00",2022,May,2,,2,,,2,,Drowning,"Remains washed ashore 7KM West of Sabratha DP, Sabratha, Libya","IOM Libya","32.81545615, 12.434809","Central Mediterranean",,Uncategorized,4
2022.MMP433,2022.MMP433,"Central America","Thu, 05/05/2022 - 12:00",2022,May,1,,1,,,1,,Drowning,"Rio Bravo, Morelos Colony, Acuña, Coahuila, Mexico",Zócalo,"29.30446461, -100.8861965","US-Mexico border crossing",https://archive.ph/KnFq5,"Central America",1
2022.MMP434,2022.MMP434,"North America","Fri, 05/06/2022 - 12:00",2022,May,1,,1,,,1,,"Accidental death","At the border wall, near Drucker Lane and Kearns Street, Otay Mesa, San Diego County, California, United States of America","FOX5, Noticas Ya, Mundo Hispanico","32.54929721, -116.9494515","US-Mexico border crossing","https://archive.ph/b4TEs, https://archive.ph/cCcAS, https://archive.ph/fKbCX","Northern America",3
2022.MMP435,2022.MMP435,"Central America","Thu, 05/05/2022 - 12:00",2022,May,1,1,2,,,,2,Drowning,"Remains recovered from the Rio Bravo near Colonia Presidentes, Morelos, Piedras Negras, Coahuila, Mexico - after having attempted to cross on 2 May with their parents","US Border Patrol, Zócalo, Swiss Info","28.68083351, -100.5075822","US-Mexico border crossing","https://archive.ph/iSaE2, https://archive.ph/Fnv2j, https://archive.ph/hPvEl","Central America",5
2022.MMP436,2022.MMP436,"North America","Thu, 05/05/2022 - 12:00",2022,May,1,,1,,,1,,Drowning,"Rio Bravo, Del Rio Texas, Val Verde County, Texas, United States of America","US Border Patrol, La Verdad, Zócalo","29.32753151, -100.9251559","US-Mexico border crossing","https://archive.ph/iSaE2, https://archive.ph/nDmT4, https://archive.ph/cT1IM","Northern America",5
2022.MMP437,2022.MMP437,"Central America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,"Accidental death","Railroad tracks near Viborilla de Suarez, Guanajuato, Mexico","Periodico Correo MX","20.37768398, -101.728838",,https://archive.ph/mWD5T,"Central America",1
2022.MMP438,2022.MMP438,"Central America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,Drowning,"Rio Bravo, Piedras Negras, Coahuila, Mexico","Mario Alvarado PN, Zócalo, ADN Cuba","28.70097983, -100.51163","US-Mexico border crossing","https://twitter.com/MarioAlvaradoPN/status/1523789894027718657?cxt=HHwWgsDRnbq1y6UqAAAA, https://archive.ph/QNStQ, https://archive.ph/Aobmw, https://archive.ph/RRxkr","Central America",3
2022.MMP439,2022.MMP439,"Central America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,Drowning,"Rio Bravo near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico","Líder Web","27.59635532, -99.53730188","US-Mexico border crossing",https://archive.ph/oCbax,"Central America",1
2022.MMP440,2022.MMP440,Caribbean,"Sun, 05/08/2022 - 12:00",2022,May,1,,1,56,1,,,Drowning,"Off Mona Island in the Mona Passage, Mayaguez 00680, Puerto Rico, USA","El Día, Blaze Trends","18.08738114, -67.89409572","Dominican Republic to Puerto Rico","https://archive.ph/UQ2yT, https://archive.ph/3RJOG",Caribbean,3
2022.MMP441,2022.MMP441,"North America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,Drowning,"Rio Bravo near Rosita Colony Eagle Pass, Maverick County, Texas, United States of America","Noticias Telemundo, GMN Noticas","28.60670162, -100.4327162","US-Mexico border crossing","https://archive.ph/hG1aJ, https://archive.ph/GhGzo","Northern America",3
2022.MMP442,2022.MMP442,"North America","Mon, 05/09/2022 - 12:00",2022,May,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Old Eagle Pass Road (Antiguo Camino a Uvalde), Uvalde County, Texas, United States of America",Zócalo,"29.1890127, -99.82253788","US-Mexico border crossing",https://archive.ph/hG1aJ,"Northern America",1
2022.MMP443,2022.MMP443,"Northern Africa","Fri, 05/13/2022 - 12:00",2022,May,1,,1,14,,1,,"Mixed or unknown","Around 141km south of Gran Canaria, Spain","Canarias 7, ABC","26.51992749, -15.607249","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/KcIMw, https://archive.ph/AEwpy",Uncategorized,3
2022.MMP444,2022.MMP444,Europe,"Mon, 04/18/2022 - 12:00",2022,April,,1,1,,,1,,"Accidental death","Bidasoa river, Basque Country, Spain","Diario Vasco, InfoMigrants, Noticias de Gipuzkoa","43.35019956, -1.7859",,"https://archive.ph/CXg50, https://archive.ph/rBpGK, https://archive.ph/p8BTk","Southern Europe",3
